,id,intitule,description,dateCreation,dateActualisation,origineOffre,romeCode,appellationlibelle,typeContrat,salaire,dureeTravailLibelleConverti,qualificationLibelle,secteurActiviteLibelle,langues,formations,permis,latitude,longitude,Departement,Ville,intitule_clean
39,0648248,business analyst data h/f,"depuis 2011, groupama supports et services (g2s), filiale du groupe groupama, intervient essentiellement sur tous les métiers de l'it mais aussi sur l'immobilier d'exploitation et les achats. nos 1500 collaborateurs sont répartis sur une dizaine de sites en france. 




 * vous avez 5 ans d'expérience minimum en conception fonctionnelle d'application de gestion, et 3 ans minimum en architecture fonctionnelle.
 * vous êtes issu(e) d'une école d'ingénieur (informatique, télécoms, généralistes),
 * vous avez une compétence métier dans les domaines de l'assurance (notamment en assurance de la personne).
 * vous aimez et savez travailler en équipe ! vous êtes rigoureux(se), curieux(se), et engagé(e).
 * vous êtes force de proposition et vos capacités rédactionnelles et de communication ne sont plus à démontrer.

 

#li-hybrid",2024-01-31,2024-01-31,https://candidat.pole-emploi.fr/offres/recherche/detail/0648248,M1806,Consultant(e) fonctionnel(le) des systèmes d'information,CDI,non disponible,non disponible,Cadre,non disponible,non disponible,non disponible,non disponible,48.884156,2.237199,92,puteaux,business analyst data h/f
40,0639486,data analyst,"la société mrm recherche un(e) data analyst pour son bureau de montpellier : zac du millenaire 1350 avenue albert einstein (34000).
 le poste est à pourvoir immédiatement.
 embauche en cdi à temps plein (35 heures).
 salaire brut à l'embauche proposé entre 3 000 € et 3 700 € selon le profil.
 mutuelle du salarié et de ses enfants (ayants-droits) prise en charge à 100% par l'employeur.
 accords d'épargne salariale.
 profil recherché :
 vous devez justifier d'une première expérience professionnelle et d'un niveau bac +4 minimum.
 finalité du poste - fonctions :
 rattaché à la direction des systèmes d'informations de la société et du groupe auquel elle appartient, vous serez chargé(e) de l'analyse des bases de données et plus particulièrement de :
 · trouver des sources de données pertinentes,
 · extraire les données du système source,
 · extraire et traduire des données business en données statistiques,
 · optimiser la segmentation client au travers de données de consommation,
 · contrôler la qualité des données,
 · analyser les informations chiffrées générées par l'activité de l'entreprise,
 · synthétiser et vulgariser les informations pour les rendre accessibles aux dirigeants de l'entreprise,
 · proposer des recommandations sur les bases de données à modifier,
 · déterminer des tendances d'achat ou de consommation,
 · faciliter les prises de décision des entreprises en assurant un rôle de consultant.
 · développer, maintenir et mettre en service des reportings automatiques,
 vous serez amené(e) à travailler en collaboration avec le service marketing, master data et commercial.
 savoir-faire :
 · maîtriser les outils statistiques et les informations nécessaires à la mise en place d'une base de données,
 · gérer parfaitement les différentes technologies spécifiques au big data,
 · maîtriser parfaitement à la fois les langages sql (mysql, postgresql, sql serveur) et les outils statistiques,
 savoir-être :
 comme toute activité nécessitant la manipulation de données chiffrées, vous devez être doté(e) d'une extrême rigueur, d'un esprit d'analyse développé et d'une très bonne organisation.
 vous serez tenu(e) de respecter des règles de confidentialité et de non divulgation d'informations sensibles.
 type d'emploi : cdi
 salaire : 36 000,00€ à 44 400,00€ par an
 avantages :
 * épargne salariale
 * réductions tarifaires
 programmation :
 * du lundi au vendredi
 * période de travail de 8 heures
 langue:
 * anglais (optionnel)
 lieu du poste : en présentiel",2024-01-31,2024-01-31,https://candidat.pole-emploi.fr/offres/recherche/detail/0639486,M1403,Data analyst,CDI,non disponible,non disponible,non disponible,non disponible,non disponible,non disponible,non disponible,non disponible,non disponible,34,hérault,data analyst
41,0634953,data analyst,"faisons connaissance
en tant que régie publicitaire plurimedia leader sur le marché français, tf1 pub offre à ses clients une capacité d'exposition unique en combinant la couverture large de ses chaines de télévision et de ses médias digitaux. la régie imagine également des dispositifs brand content amplifiés par des campagnes cross-média intégrées, pour créer des expériences de marques innovantes.
tf1 pub est engagée en faveur d'une communication plus responsable, à travers le programme ecofunding destiné à financer des campagnes de sensibilisation grand public, son partenariat avec goodeed, ou l'offre ecorespons'ad visant à valoriser les initiatives positives des marques.
nous sommes présents sur :
- la télévision, accessible en campagne classique linéaire / segmentée et parrainage d'étâches, via tf1 ou l'offre tnt référente du marché (tmc, tfx, tf1 séries films et lci, complétée par les chaines cabsat tv breizh, ushuaïa tv, et histoire).
- le digital, avec : tf1+, première plateforme de streaming gratuite en france, garantissant une visibilité dans un environnement premium et brand safe ; tf1 info, la plateforme digitale d'information du groupe tf1; une accélération sur la data pour toujours plus de ciblage, et sur le programmatique; des partenariats avec les plateformes (snapchat, twitter) pour capitaliser sur la forte résonnance sociale de nos programmes.
- la radio, avec le réseau des indés et ses ±130 stations locales et régionales, complétée par m radio et des stations d'outre-mer, alliant puissance et proximité. une offre disponible au national ou en multi-villes, également soutenue par la forte dynamique de l'audio digital via nos webradios et podcast
 
- 
pour aller plus loin et accompagner la dynamique de conquête de tf1 pub, nous recrutons au sein de l'équipe revenu management digital un(e) product data analyst en contrat à compter de février 2024.
 
l'équipe revenu management digital a pour tâches :
- de piloter les inventaires digitaux et les offres dans nos outils d'adserving afin d'opérer les campagnes publicitaires efficacement
- de définir et appliquer la politique prix de la régie publicitaire
- d'automatiser la bonne utilisation des offres et des prix dans les processus commerciaux
votre rôle au sein de l'équipe
au sein de l'équipe revenu management digital, le/la product data analyst sera en charge de la partie audience et autopilot. autopilot est une gamme de produits qui utilise la data et l'ia à des fins d'optimisation de nos processus commerciaux.
le/la product data analyst aura pour tâches :
- exploiter les données de logs pour mieux connaitre et qualifier notre audience
- contrôler la qualité des données d'audience ingérées dans nos outils (forecasting, dataviz) et être l'interface avec la cellule data adtech du groupe tf1 sur la collecte et le monitoring de ces données.
- de produire le cahier des charges de nos outils d'automatisation et ia (gamme autopilot) développés par la cellule data adtech
- de recetter ces outils et de coordonner le bon déploiement au sein de la régie
- de mettre en place les bonnes pratiques d'utilisation de ces outils
- d'effectuer de la r&d autopilot pour trouver et valider de nouveaux uses cases à très forte valeur ajoutée pour la régie
localisation du poste
lieu de travail : paris",2024-01-31,2024-01-31,https://candidat.pole-emploi.fr/offres/recherche/detail/0634953,M1403,Data analyst,CDI,non disponible,non disponible,non disponible,non disponible,non disponible,non disponible,non disponible,non disponible,non disponible,75,non disponible,data analyst
42,0633450,data analyst,"notre client est un groupe agroalimentaire français exerçant dans l'univers fromager et laitier ainsi que dans les domaines de la charcuterie, des produits de la mer et du chocolat.
avec une présence commerciale dans 120 pays, un ca de 7mds d'euros et un effectif de plus de 20 000 collaborateurs, notre client est l'un des premiers transformateurs de lait mondiaux.dans un environnement international, sous la responsabilité de la direction de projet, les principales tâches attendues sont les suivantes :
veiller à la complétude fonctionnelle et technique du projet stratégique : organiser et animer les ateliers de travail sur les différents thèmes identifiés ; proposer et faire valider les solutions par l'ensemble des acteurs ; mettre à jour la documentation,
veiller à la complétude et la mise à jour du dictionnaire de données : valider avec les métiers que leurs besoins sont correctement adressés ; maintenir le mapping entre les différentes applications du périmètre au sein du dictionnaire de données ; animer la reprise de données,
proposer les rapports, indicateurs et seuils du suivi de la qualité : organiser et animer les campagnes de mise en qualité,
exercer une veille sur les sujets transverses en lien avec la gouvernance de données : suivi des directives gs1 et des partenaires (datapools, solutions tierces) et anticipation des impacts ; suivi des initiatives en lien avec la qualité ou la gouvernance (consotrust, , verified by gs1...) ; propositions d'harmonisation,
reporter auprès de la direction de projet et documenter les différents sujets.",2024-01-31,2024-01-31,https://candidat.pole-emploi.fr/offres/recherche/detail/0633450,M1403,Data analyst,CDI,non disponible,non disponible,non disponible,non disponible,non disponible,non disponible,non disponible,48.803019,2.131319,78,versailles,data analyst
43,0632992,data analyst,"notre client, client final dans le secteur industriel, est à la recherche d'un data analyst qui jouera un rôle clé dans la transformation digitale de l'entreprise.
votre mission principale consistera à exploiter pleinement les données par le biais de l'analyse, mais également en développant des produits data innovants à l'aide de modèles statistiques, de machine learning ou d'intelligence artificielle.vos responsabilités comme data analyst :
la collecte, le nettoyage et l'organisation de données provenant de diverses sources, internes et externes,
l'analyse des données pour déceler des tendances et enrichir notre compréhension de la clientèle,
la création de modèles prédictifs, notamment pour des prévisions de demande,
la collaboration étroite avec les équipes métier afin de cerner leurs objectifs et de recommander des solutions fondées sur les données,
votre contribution à la gouvernance des données en mettant à jour la documentation dans les outils existants et en veillant à la qualité des données.
votre participation à l'élaboration de la stratégie data du groupe en proposant de nouveaux cas d'utilisation.",2024-01-31,2024-01-31,https://candidat.pole-emploi.fr/offres/recherche/detail/0632992,M1403,Data analyst,CDI,non disponible,non disponible,non disponible,non disponible,non disponible,non disponible,non disponible,48.110899,-1.68365,35,rennes,data analyst
44,0627836,data analyst,"nous recherchons un data analyst talentueux et passionné pour rejoindre notre client dynamique au sein du secteur du conseil. vous rejoindrez notre équipe de consultants expérimentés et travaillerez sur des projets variés pour nos clients nationaux et internationaux. votre rôle consistera à analyser des données complexes et à fournir des insights stratégiques pour soutenir la prise de décision de nos clients.
            vos missionscollecter, nettoyer et analyser de grandes quantités de données provenant de diverses sourcesidentifier les tendances et les schémas afin d'évaluer la performance des affaires et de recommander des actions d'améliorationcréer des modèles prédictifs pour anticiper les futurs comportements des clients et optimiser les opérationscollaborer étroitement avec les équipes internes pour comprendre les exigences analytiques et développer des solutions personnaliséesprésenter des résultats et des recommandations sous forme de rapports clairs et concis
            pré-requisdiplôme universitaire en statistiques, mathématiques, économie ou dans un domaine connexecapacité à travailler efficacement sous pression et à gérer plusieurs projets simultanémentexcellentes compétences analytiques et une expérience avec des outils d'analyse de données tels que python, r, sql et excelbonne compréhension des principes de base de la gestion des bases de données et des techniques d'exploration de données
            profil recherchévous avez une expérience significative en tant que data analyst dans un environnement de conseil ou similairevous maîtrisez les outils de manipulation et d'analyse de données tels que python, r, sql, et excelvous avez déjà travaillé sur des projets de modélisation prédictive et d'analyse de données en utilisant des techniques telles que la régression, la classification ou le clusteringvous êtes capable de communiquer clairement et de présenter des résultats complexes de manière compréhensible pour les non-expertsvous êtes orienté(e) vers les résultats, capable de travailler de manière autonome et de respecter les délais
            informations complémentairestype de contrat : cdi
            temps de travail : temps pleinsalaire : 40000 € - 50000 € par an",2024-01-31,2024-01-31,https://candidat.pole-emploi.fr/offres/recherche/detail/0627836,M1403,Data analyst,CDI,non disponible,non disponible,non disponible,non disponible,non disponible,non disponible,non disponible,48.886191,2.265869,92,neuilly sur seine,data analyst
45,0627218,data analyst,"controleur gestion rh data analyst h/f - ec20795  p  strong quelles seront vos missions ? /strong  /p 
 ul 
 li élaboration budget masse salariale de la collectivité (62 m€): recensements des besoins, participation aux réunions d'arbitrages, simulations et présentations aux responsables et élus concernés /li 
 li tableaux de bords mensuels (suivi du budget de masse salariale, effectif, primes .) /li 
 li réalisation et analyse des bilans sociaux (rapport sur l'etat de la collectivité) /li 
 li etudes diverses : supports et propositions aux services sur la gestion des heures supplémentaires, de l'absentéisme, des effectifs /li 
 li réalisations de statistiques conjoncturelles pour les organismes extérieurs (cig, cnfpt, insee, fiph), bilans annuels (masse salariale, effectifs, .) pour les directions et rsu. /li 
 li maintien et amélioration, en lien avec la responsable des carrières, de l'outil de gestion des carrières et de paie /li 
 li participation et pilotage de projets : temps de travail, évaluation des agents, régime indemnitaire (élaboration des projets, participation aux négociations avec les organisations syndicales). /li 
 li aide à la décision et supports techniques sur projets organisation rh /li 
 li suivi de la dsn, des signalements (fctu et adt) et de toutes les nouveautés rh en matière de simplification et de digitalisation /li 
 li participera au déploiement du sirh et de ses satellites en assurant les phases de préparations et de recettes /li 
 li déploiement et mise en œuvre de la solution informatique de la gpec /li 
 li import de données pour les différents logiciels rh tel que le logiciel formation/entretiens professionnels (inser) /li 
 /ul",2024-01-31,2024-01-31,https://candidat.pole-emploi.fr/offres/recherche/detail/0627218,M1204,Analyste de gestion d'entreprise,CDI,non disponible,non disponible,non disponible,non disponible,non disponible,non disponible,non disponible,48.918227,2.292481,92,asnieres sur seine,data analyst
46,0602398,data analyst,"safran est un groupe international de haute technologie opérant dans les domaines de l'aéronautique (propulsion, équipements et intérieurs), de l'espace et de la défense. sa mission : contribuer durablement à un monde plus sûr, où le transport aérien devient toujours plus respectueux de l'environnement, plus confortable et plus accessible. implanté sur tous les continents, le groupe emploie 83 000 collaborateurs pour un chiffre d'affaires de 19,0 milliards d'euros en 2022, et occupe, seul ou en partenariat, des positions de premier plan mondial ou européen sur ses marchés. safran s'engage dans des programmes de recherche et développement qui préservent les priorités environnementales de sa feuille de route d'innovation technologique.



safran est dans le top 30 des meilleurs employeurs mondiaux 2022 selon le magazine forbes.



safran landing systems est le leader mondial des fonctions d'atterrissage et de freinage pour aéronefs. partenaire de 30 avionneurs dans les domaines du transport civil, régional, d'affaires et militaire, la société assure le support de 27 800 avions effectuant environ 73 000 atterrissages par jour.


descriptif missiondescription de la mission

rattaché à la direction technique roues et freins, le département performance de freinage réalise des activités d'analyse d'essais et de données issues de la vie en service sur les différents volets de la performance :

- capacité de friction générant le couple de freinage

- phénomènes physiques impactant la durée de vie (usure, oxydation...)



a ce titre le service performance de freinage s'attache à : 

- accompagner la r&t, le développement et la certification des nouveaux produits roues et freins

- mener les analyses répondant aux différentes problématiques liées à la vie d'un produit

- améliorer notre compréhension des phénomènes physiques



cela se traduit par :

- participer à l'analyse des essais de r&t, développement, qualification, suivi en service et

capitaliser les résultats de ces analyses.

- monitorer et analyser les indicateurs de performance de la vie en service

- identifier les paramètres ayant un impact fort sur la performance de freinage et

développer des modèles statistiques permettant d'évaluer cet impact. 

- développer des méthodes et outils pour l'analyse des essais de performance de freinage.

- prendre part à la recherche de nouveaux designs destinés à l'amélioration de la

performance et estimer les gains associés à ces designs.

- participer à l'amélioration des protocoles de test et à la mise en oeuvre de nouveaux essais

destinés à améliorer notre compréhension du comportement du frein.

- assurer la capitalisation et la transmission des connaissances et des savoir-faire

- participer à différents groupes de travail (résolution de problèmes liés à la performance en

apportant une expertise transverse).



depuis 2020, le département performance de freinage est pleinement engagée dans la transformation digitale. notre activité nous conduit à manipuler et croiser des données en grande quantité (données d'essais, données de production, données issues de la vie en service...). afin d'améliorer la qualité et l'efficacité de nos analyses nous utilisons les méthodes modernes de data analyse (traitement et visualisation de données via programmation en python) ou de data science (par exemple en recherchant des corrélations via algorithme de machine learning).",2024-01-31,2024-01-31,https://candidat.pole-emploi.fr/offres/recherche/detail/0602398,G1302,Analyst revenue management,CDI,non disponible,non disponible,non disponible,non disponible,non disponible,non disponible,non disponible,48.8,2.18333,78,velizy villacoublay,data analyst
47,0601716,data analyst,"safran est un groupe international de haute technologie opérant dans les domaines de l'aéronautique (propulsion, équipements et intérieurs), de l'espace et de la défense. sa mission : contribuer durablement à un monde plus sûr, où le transport aérien devient toujours plus respectueux de l'environnement, plus confortable et plus accessible. implanté sur tous les continents, le groupe emploie 83 000 collaborateurs pour un chiffre d'affaires de 19,0 milliards d'euros en 2022, et occupe, seul ou en partenariat, des positions de premier plan mondial ou européen sur ses marchés. safran s'engage dans des programmes de recherche et développement qui préservent les priorités environnementales de sa feuille de route d'innovation technologique.



safran est dans le top 30 des meilleurs employeurs mondiaux 2022 selon le magazine forbes.



safran aerosystems est leader mondial des toboggans d'évacuation et des systèmes oxygène. la société  est un acteur majeur dans les systèmes de sécurité et les systèmes de fluides pour les avions et les hélicoptères.


descriptif missionfournir un appui analytique à la conduite d'exploration et à l'analyse complexe des données 

créer des algorithmes de recherche de données qui permettent d'explorer les données utiles

procéder à l'industrialisation du procédé pour les données les plus intéressantes. organiser, synthétiser et traduire

les informations pour faciliter la prise de décision. 

gérer les opérations et l'administration, la modélisation et l'architecture des gisements de données. s'assurer de la cohérence et du bon fonctionnement des bases de données existantes .",2024-01-31,2024-01-31,https://candidat.pole-emploi.fr/offres/recherche/detail/0601716,G1302,Analyst revenue management,CDI,non disponible,non disponible,non disponible,non disponible,non disponible,non disponible,non disponible,non disponible,non disponible,France,non disponible,data analyst
48,0622495,business analyst confirmé,"step up est une société d'ingénierie experte en pilotage de projets industriels et informatiques (+ 230 collaborateurs sur 9 agences en france), plaçant le potentiel humain comme 1er vecteur d'excellence et de performance en entreprise.
oubliez les sociétés d'ingénierie qui ne valorisent que vos seules compétences, chez step up, nous visons également l'adéquation entre votre personnalité et la culture d'entreprise de nos clients. cela se traduit pour vous par une différence fondamentale en termes de bien être, d'épanouissement au travail et de succès dans vos missions.
ce que vous nous proposons :
 - un cadre de travail épanouissant, stimulant et collaboratif, nous sommes certifiés entreprise où il fait bon vivre !
 - des projets innovants et variés.
 - la possibilité de se perfectionner continuellement avec des formations internes.
 - des perspectives d'évolution de carrière.
 - un accompagnement individualisé avec un programme de développement du potentiel humain.
 - un programme de cooptation.
et bien sûr, nous prenons en charge 60% de votre mutuelle santé et encourageons financièrement la mobilité douce.
le poste : 

nous recherchons pour l'un de nos clients, un/une business analyst confirmé. 
l'hypervision est l'entité chargée de la supervision et de la gestion des incidents des chaînes communicantes ccmm, ccma, sei et iot/irve dans le but de garantir la performance de ces chaînes en production. le profil recherché intègrera l'équipe pilotage de production au sein de l'hypervision ccmm, en charge du suivi des performances en production, de la télédistribution des logiciels sur le parc.
vos missions principales :
- suivre et analyser un ou plusieurs indicateur(s) de performance à la maille nationale et dr, expliquer leurs variations et mettre en place des actions d'amélioration associées
- réaliser des tableaux de bords de pilotage ou opérationnels de suivi de performance
- consolider les données et reporter les analyses associées aux variations de performances
- maîtriser le fonctionnement de la chaîne communicante marché de masse
- suivre l'ensemble des évènements de production
- préparer, animer et/ou représenter la production du marché de masse dans les différents comités
vos missions secondaires :
- suivi de performance dans le cadre de pilote et expérimentation
- suivi de performance sur des périmètres dédiés en fonction des actualités de production 
- capitalisation et partage de connaissances (rédaction documentaire)
stack technique du projet :
tableau desktop
power bi
gojira / goconfluence
suite office (notamment excel, powerpoint et teams) sql et python
profil recherché : 

profil recherché : 
- forte appétence pour la data, d'une sensibilité métier et un bon relationnel.
- une expérience dans le traitement et l'analyse de données est nécessaire.
- une expérience dans l'animation de réunion et la présentation de reporting est fortement souhaitée.
compétences attendues :
- produire ou faire produire des indicateurs à partir d'un besoin 
- maitriser des outils d'analyse et de reporting
- capacités d'analyse et de synthèse
- connaissances en analyse de risque et d'impact
- connaissances techniques (liées au projet) et fonctionnelles lui permettant d'analyser les données - compétences rédactionnelles et d'animation de réunions
- aisance à communiquer
- capacité à collaborer et à travailler en équipe
- aptitudes à gérer plusieurs sujets en même temps, à les prioriser - rigueur
- proactivité, curiosité et dynamisme
vous vous reconnaissez dans ce descriptif et vous sentez prêts à relever un nouveau challenge - alors rejoignez nous, on vous attend !
step up respecte vos données personnelles : retrouvez notre politique de confidentialité sur www.stepup-conseil.com",2024-01-31,2024-01-31,https://candidat.pole-emploi.fr/offres/recherche/detail/0622495,M1403,Data analyst,CDI,non disponible,non disponible,non disponible,non disponible,non disponible,non disponible,non disponible,45.751578,4.869577,69,lyon,business analyst confirmé
49,168RDHX,chef de projet expert data,"rejoindre sncf, c'est choisir de construire votre avenir dans une entreprise qui sait encourager la performance et l'innovation. c'est aussi la possibilité de réaliser votre projet professionnel au service d'un intérêt collectif.

vos missions
au sein de sncf immobilier, le département si travaille avec l'ensemble des directions métiers (centrales et régionales) afin de construire un si performant, aligné sur les objectifs et enjeux de l'entité, et capable de s'adapter rapidement aux évolutions des exigences des métiers.
le chef de projet data est rattaché au pôle décisionnel et echanges qui a pour mission d'identifier, collecter, analyser, assurer la disponibilité et la qualité des données, et de mettre à disposition les informations nécessaires aux activités opérationnelles et de pilotage des activités.

vous assurez la conception technico-fonctionnelle de notitia (entrepôts de données opérationnelles, décisionnelles, et échanges) en relation directe avec les métiers et les experts si concernés, puis sera responsable du cycle de vie et de la valorisation des données transitant par notitia.
vous faîtes partie d'une équipe de 8 personnes constituée de data engineers, data architectes et d'experts en data visualisation.

vous travaillez en collaboration avec les services internes de sncf immobilier et des autres sa sncf, et avec des prestataires externes (consultants - formateurs).

votre quotidien
en tant que chef de projet data, vous :

accompagnez et conseillez les différents métiers de l'immobilier sur le traitement et la valorisation des données;
participez à la conception, la réalisation, la qualification et la maintenance de la plateforme en fonction des besoins métiers et en collaboration avec les intervenants si (chefs de projets, architectes, experts data, etc.) ;
participez à la conception, la réalisation et la qualification et la maintenance des applications de data visualisation ;
pilotez la transformation des données (enrichissement, mise en qualité,  ) et la mise à disposition des données dans la plateforme data de sncf immobilier;
collaborez avec les data engineers pour industrialiser les flux d'alimentation de données, tout en assurant le niveau de performance des traitements des données en fonction des exigences métiers et leur intégrité ;
 participez à l'évolution de l'architecture technique de la plateforme data dans le cloud ;
documentez et garantir la bonne cohérence et qualité des données et de leurs métadonnées;
accompagnez les utilisateurs dans l'appropriation des données et des applications ;
assurez une veille technologique sur les nouvelles technologies big data et ia

profil recherché
rejoignez nous si vous êtes titulaire d'un diplôme bac+5 minimum, obtenu en école d'ingénieur ou à l'université, avec une spécialité si, vous disposez de 5 ans minimum d'expérience dans la mise en place de solutions de gestion traitement et de valorisation des données.

vous maîtrisez l'analyse de données et des enjeux liés à la collecte et la valorisation de la data.
vous disposez de bonnes connaissances des statistiques et des mathématiques.
vous possédez une bonne culture technologique, couplée à une vision globale des solutions applicatives.
vous maîtrisez les technologies cloud (aws, azure, etc.), workflow, flux de données, smart data, big data, bi, data analytics 
vous connaissez le sql, la modélisation de données et des outils de data visualisation (power bi) et idéalement un langage de programmation (python, r, etc.)
vous utilisez des solutions de manipulation des données etl/elt.",2024-01-31,2024-01-31,https://candidat.pole-emploi.fr/offres/recherche/detail/168RDHX,M1403,Data analyst,CDI,non disponible,Temps plein,Cadre,Transport ferroviaire interurbain de voyageurs,non disponible,"[{'niveauLibelle': 'Bac+5 et plus ou équivalents', 'exigence': 'E'}]",non disponible,48.927213,2.361465,93,st denis,chef de projet expert data
50,168QGHZ,analyste data,"dans le cadre du développement de la société pok, vous serez responsable de l'analyse de données issues de l'activité de l'entreprise. 

poste à pourvoir dès que possible, en temps plein ou temps partiel

vos missions :
préparation d'un plan de travail de correction des données
recueillir toutes les données statiques pour l'erp de l'entreprise
saisir, mettre à jour, vérifier la cohérence, contrôler la qualité des données
catégoriser les données afin de les exploiter au mieux
créer et mettre à jour des manuels de gestion de données
participer à la création d'un système d'analyse de la qualité des données
analyser des données simples existantes et rechercher des écarts de données
modéliser et assurer les mises à jour régulières de la base de données
se déplacer physiquement pour voir les utilisateurs (relation de confiance et meilleures compréhensions des contraintes)
accompagner les utilisateurs sur l'utilisation des données de l'erp

votre profil :
connaissance des techniques et outils analytiques (statistiques et de data mining)
connaissance des langages de requêtes de type sql
connaissance des systèmes d'information et de données : erp (comprendre la cartographie donnée d'un système)
maitrise des outils bureautiques, notamment analytiques (excel, macro )
connaissance des processus de production et de supply chain et du rôle des données dans ces processus
être capable d'obtenir les informations nécessaires auprès des différents services internes et contacts externes
savoir présenter les résultats de données
savoir gérer des projets à court terme
connaissance des outils de gestion de flux d'entreprise (visio /draw-io)
connaissance des techniques de planification
connaissance de langages de programmation/analyse
connaissance en gestion du changement
capacité à former les salariés au rôle des données dans l'entreprise et faire comprendre leur importance
savoir traduire des informations de processus en données

vos avantages :
primes ( à la signature, sur objectif et d'équipe si applicable, panier, présence, cooptation)
welcome pack
accord de participation aux bénéfices
comité d'entreprise - achats à prix réduit
participation à la complémentaire santé
participation au transport domicile/travail à partir de 10km jusqu'à 50km pour un trajet par jour
prise en charge du transport en commun domicile/travail à 100% jusqu'à 50km pour un trajet par jour
chargement gratuit à des bornes pour vélo électrique, moto électrique et voiture électrique
convention de la métallurgie (prime d'ancienneté, jours d'ancienneté)
une prévoyance dont 43% de la cotisation est prise en charge par l'employeur
epargne salariale
aide à la mobilité (action logement)
processus d'intégration
formation interne et externe, continue
accompagnement vers la polyvalence
interaction avec de nombreux services
promotion interne
possibilité d'évolution (junior, confirmé, sénior, adjointe / adjoint responsable, responsable, direction)

autres informations :
département : technologie de l'information
horaire : 8h00-12h00 et de 13h15-17h15 du lundi au jeudi et 8h00-12h00 et de 13h15-16h15 le vendredi
télétravail : non
poste ouvert aux personnes en situation de handicap",2024-01-31,2024-02-03,https://candidat.pole-emploi.fr/offres/recherche/detail/168QGHZ,M1403,Data analyst,CDI,non disponible,Temps plein,Employé qualifié,Fabrication d'autres articles de robinetterie,"[{'libelle': 'Anglais', 'exigence': 'E'}]",non disponible,non disponible,48.493149,3.503003,10,nogent sur seine,analyste data
51,0623009,business analyst - sirh/sap,"synanto (anciennement 2s2i) est une esn à taille humaine avec un management de proximité, une culture et des valeurs qui inscrivent nos collaborateurs au cœur de son développement. en effet, la relation avec nos consultants est un des leviers de notre proposition de valeur nous permettant d'instaurer une relation durable, tout en les accompagnant à devenir des experts.
en ce sens, intégrer synanto - devenir un talent - - c'est l'assurance de se voir proposer des missions stimulantes et d'évoluer en ayant un véritable plan de carrière.
nos secteurs d'intervention sont variés (industrie, energie, transports, distribution, edition de logiciels ou secteur public), avec une expertise qui reste dominante dans le secteur banque, finance et assurance.
aujourd'hui, synanto, ce sont :
- 4 agences en france (paris, lyon, aix-en-provence et montpellier) et 2 à l'étranger (luxembourg et tunisie)
- 150 collaborateurs
- 1 spécialisation dans le domaine banque / finance / assurance
- 1 promesse : vos projets, nos talents, une rencontre
- 5 valeurs fortes : synergie, entraide, transparence, diversité, optimisme
de nombreux talents ont déjà rejoint notre équipe, pour une vision différente, des opportunités de carrière et des projets innovants. pourquoi pas vous !?... venez écrire l'histoire d'une entreprise, experte des si à dimension humaine.

le poste : 

la mission a lieu dans le cadre d'une mise en œuvre d'un plan de modernisation du sirh dans lequel une des ambitions est la mise en place d'une plateforme d'expérience rh, couche applicative additionnelle à valeur ajoutée, permettant de :
> produire et / ou de consommer des services rh à valeur ajoutée
> exploiter des algorithmes de recherche naturelle et de recommandations transverses aux domaines rh
> viser une gestion de la data rh plus précise et plus exhaustive
> doter les salariés d'un front end rh unifié facilitant l'interaction avec les processus et les data rh les concernant, enrichi de fonctions de notification, d'anticipation, de collaboration et de visualisation innovantes
l'objectif de cette consultation concerne l'accompagnement de la mise en œuvre du front end rh unifié. la réalisation d'un pmv est en cours de mise place, elle a pour objectif de répondre de manière optimale aux enjeux précédents ainsi que l'apport des premiers usages rh à valeur ajoutée.
le prestataire devra être en mesure d'accompagner le client dans la mise en place applicative de la solution, le paramétrage de la solution ainsi que dans la mise en œuvre des principes ui ux du portail d'entreprise.
les activités principales concernent :
- le paramétrage de la solution
- la mise à jour de la documentation
- l'accompagnement du métier dans la définition et l'expression de son besoin,
- l'assistance aux utilisateurs
- la remontée et le suivi des incidents auprès de l'éditeur (sap)
- le suivi et la recette de la roadmap produit
attendus: 
- accompagnement du métier dans la prise en main et la configuration / paramétrage de la solution
- participer à la définition de la roadmap des prochains changements, suivre le backlog
- support utilisateur et suivi des incidents
profil recherché : 

- connaissance portail et problématiques d'implémentation
- support utilisateur (sap)
- paramétrage de progiciel
- sensibilité ux
- connaissance du sirh
- communication / relationnel 
- esprit de synthèse",2024-01-31,2024-01-31,https://candidat.pole-emploi.fr/offres/recherche/detail/0623009,M1403,Data analyst,FRA,non disponible,non disponible,non disponible,non disponible,non disponible,non disponible,non disponible,48.859,2.347,75,paris,business analyst - sirh/sap
